,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/5195000,For Sale:  Glock 19,"Decatur Madison, Huntsville, Alabama",$ 510,"Listed On: Saturday, February 20, 2016",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,Mint condition Gen 3  19  comes as shown
1,http://www.armslist.com/posts/5195001,For Sale/Trade:  S&W model 2213,"West Wichita, Wichita, Kansas",$ 400,"Listed On: Saturday, February 20, 2016",Handguns,Smith & Wesson                                                                                ,22 Long Rifle                                                                                ,Single Action                                                                                ,Pistol,New never fired missing box. Very hard to find
3,http://www.armslist.com/posts/5195003,For Sale:  remington 30-06 with scope,"el dorado, Wichita, Kansas",$ 300,"Listed On: Saturday, February 20, 2016",Rifles,Remington                                                                                ,30-06 Springfield                                                                                ,Bolt Action                                                                                ,Rifle,i have a really nice remington 30-06 for sale shot it a couple times for deer season shoots fantastic has a game seeker 4-12x40 very very nice scope already scooped in also would like to sell but interested in trades also txt me at REDACTED txt preferred has 1 box of bullets that will come with no case sling does not come with
8,http://www.armslist.com/posts/5195008,For Sale:  Ruger SR 1911,"Williamsburg, Cincinnati, Ohio",$ 650,"Listed On: Saturday, February 20, 2016",Handguns,no type,no type,Double / Single Action                                                                                ,Pistol,New gun shot 12 times to much for me.650 or trade.let me know what you have to trade must be a hand gun.REDACTED
9,http://www.armslist.com/posts/5195009,For Sale:  New Walther P22,"Manassas, Northern Virginia, Virginia",$ 320,"Listed On: Saturday, February 20, 2016",Handguns,Walther                                                                                ,22 Long Rifle                                                                                ,Striker Fire                                                                                ,Pistol,Walther P22 never been fired brand new in the case. Got the gun in hopes I would like it but my hands are far too big. Awesome .22 comes with everything factory
11,http://www.armslist.com/posts/5195011,For Sale:  Stainless steel 1911,"Ferndale, Bellingham, Washington",$ 550,"Listed On: Saturday, February 20, 2016",Handguns,Remington                                                                                ,45 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,"Remington 1911R1 model in lnib condition very low round count. There isn't even any bushing to barrel wear yet Shoots excellent, I have an extra set of hogue grips I can include.Open to trades just no 40 or 22 please"
13,http://www.armslist.com/posts/5195013,For Sale:  STACKON TACTICAL CABINET,"York, Harrisburg, Pennsylvania",$ 150,"Listed On: Saturday, February 20, 2016",Gun,no type,no type,no type,no type,Excellent condition..Bought brand new in Dec..will hold up to 14 guns depending on how you have the shelving arranged.Email for more pics.$150
14,http://www.armslist.com/posts/5195014,For Sale:  Reloading Brass,"North of Pittsburgh in Butler, Pittsburgh, Pennsylvania",FREE,"Listed On: Saturday, February 20, 2016",Reloading,no type,no type,no type,no type,"For Sale: I've got a large flat rate box filled to the max with mixed head stamp 223/5.56. Right at 2,500 pieces. Looking for $120 plus shipping or best offer. Also 500 pieces of brand new 45 acp Starline brass. Looking for $80 plus shipping. Thanks for looking"
15,http://www.armslist.com/posts/5195015,"For Sale:  Ruger 44 Carbine, 44 Magnum","Old Brooklyn, Cleveland, Ohio",$ 900,"Listed On: Saturday, March 5, 2016",Rifles,Ruger                                                                                ,44 Magnum                                                                                ,Semi-automatic                                                                                ,Rifle,Up for sale is my Ruger 44 Carbine.  Ruger hasnt made these in a number of years.  It is a semi-auto 44 magnum rifle.  Comes with a nice Leupold 1-4x scope.Perfect Ohio deer gun.  For sale or will trade for???
16,http://www.armslist.com/posts/5195016,For Sale:  Decked out shogun,"Glendale, Phoenix, Arizona","$ 1,000","Listed On: Saturday, February 20, 2016",Shotguns,Mossberg                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,"Decked out 12 Gauge  Mossberg 500 6 shot,  shotgun. comes with $300 case, forend build in flash light, door breach muzzle break, scope, laser, custom rails and more. Used only couple of times.  Call if interested REDACTED"
17,http://www.armslist.com/posts/5195017,For Sale:  m&p bodyguard 380 auto,"Jeffersontown, Louisville, Kentucky",$ 260,"Listed On: Saturday, February 20, 2016",Handguns,Smith & Wesson                                                                                ,380 ACP                                                                                ,Double Action                                                                                ,Pistol,I got the gun not to long ago shot about 150 rounds through it noting is wrong with the gun at all I just don't like it that's why I'm selling the gun I'm asking 260 cash no trads give me a call for any questions or text me  because I can't upload any photos for some stupid reason my name is Brandon and the number two rech me at 502- 953-2224
18,http://www.armslist.com/posts/5195018,For Sale:  Smith & Wesson  Model 686 .357 Mag Revolver,"Inverness/Birmingham, Birmingham, Alabama",$ 675,"Listed On: Saturday, February 20, 2016",Handguns,Smith & Wesson                                                                                ,357 Magnum                                                                                ,Double / Single Action                                                                                ,Revolver,"Brand new, never fired Smith and Wesson Model 686 4 inch .357 Mag revolver with Hogue grip. No trades, cash only, $675 OBO"
19,http://www.armslist.com/posts/5195019,For Trade:  phone for high point or other low end gun,"Lebanon, New Hampshire, United States",Offer,"Listed On: Tuesday, March 1, 2016",Handguns,no type,no type,no type,no type,I have a Verizon LG g3 phone that I don't use anymore. Have otterbox with it. Phone is mint. Never dropped or scratched. Unlock it and switch it to your provider.
20,http://www.armslist.com/posts/5195020,Want To Buy:  Looking for a Kahr CW380,"Jefferson County, near, St. Louis, Missouri",Offer,"Listed On: Thursday, February 25, 2016",Handguns,Kahr                                                                                ,380 ACP                                                                                ,Striker Fire                                                                                ,Pistol,"I'm looking for a Kahr CW380. I'm not overly concened with cosmetics, normal pocket/holster wear,as long as has not been neglected. I'm looking to replace the Kel-Tec P-32 that now resides in my front pocket. I can pay cash or work a trade if there is something that I may be willing to part with and you are interested in."
22,http://www.armslist.com/posts/5195022,For Sale:  4300 rds of 22,"Fountain, Colorado Springs, Colorado",$ 40,"Listed On: Saturday, February 20, 2016",Ammo,no type,no type,no type,no type,Two 550 rd 55$ eachTwo boxes of 400 40$ eachFive boxes of 500 50$ eachTrade for 9mm or towards a sig mpx or scorpion evo
23,http://www.armslist.com/posts/5195023,For Sale/Trade:  Glock 22 RTF,"Oak Grove, Fort Campbell, Kentucky",$ 475,"Listed On: Saturday, February 20, 2016",Handguns,Glock                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,"Like new Glock 22 RTF with Fish Gill cocking serations. All original condition, approx 200 rounds fired. 2 factory magazines, no box. Only trade interest would be for a Glock 17 or 19. Text REDACTED."
25,http://www.armslist.com/posts/5195025,For Sale:  IWB Crossbreed Mag pouches,"Greenville, North Carolina, United States",$ 40,"Listed On: Friday, March 11, 2016",Holsters,no type,no type,no type,no type,"Have 2 Crossbreed IWB tuckable double mag pouches. 1 for single stack, 1 for double stack. Confirmed fit for double stack Glock & XD, single stack 9 or 45. Come see and check fit. Only worn a couple of times. Like new. Upgraded horsehide backing. Cost $75 new (each). Selling for $40 each. Call, text, or email. REDACTED"
26,http://www.armslist.com/posts/5195026,For Trade:  Ruger 96  17hmr,"brentwood, Nashville, Tennessee",Offer,"Listed On: Thursday, March 3, 2016",Rifles,Ruger                                                                                ,17 HMR                                                                                ,Lever Action                                                                                ,Rifle,"Beautiful, rarely fired factory original lever action in rare 17hmr, will send you apic"
27,http://www.armslist.com/posts/5195027,For Sale:  InForce APL 200 Lumen Pistol Light Gen2,"Lynnwood, Seattle, Washington",$ 120,"Listed On: Thursday, February 25, 2016",Tactical,no type,no type,no type,no type,"Selling a brand new InSight APL. Comes with light an manual, no box. Just got it, threw out the box, and changed my mind. Light is super bright, easy to use, and light. Retails for $150 on amazon. Asking $120 obo. 
 
INFORCE APL - Auto Pistol Light Weaponlight Universal Black Bilateral paddle switches offer: on/off switch operation with either hand, constant and momentary White LED: 200 Lumens @ 1.5 Hours"
28,http://www.armslist.com/posts/5195028,For Sale:  BRAND NEW IN BOX Ruger 10/22 TAKEDOWN Rifle with Accessories,"South Side, Indianapolis, Indiana",$ 399,"Listed On: Saturday, February 20, 2016",Rifles,Ruger                                                                                ,22 Long Rifle                                                                                ,Semi-automatic                                                                                ,Rifle,"As stated, BRAND NEW (I just bought it YESTERDAY!!!) NEVER FIRED hard to find Ruger 10/22 TAKEDOWN Rifle Model 11100 with All Factory Parts including case in shipping box. Standard Stainless Steel Barrel. I excitedly bought it yesterday and brought it home, and as soon as the woman of the house saw it she FLIPPED, which is why I regrettably am selling it today. I live in South Indy,  ready to sell ASAP. $399 firm. Thank you."
29,http://www.armslist.com/posts/5195029,"Want To Buy:  7,62x54R, 7,62x25, 9mm","Everett, Everett, Washington",$ 1,"Listed On: Sunday, February 28, 2016",Ammo,no type,no type,no type,no type,"Looking for ammo;7,62x54R, 7,62x25T, 7,62x39, 9mm Please let me know what you got.Thanks"
31,http://www.armslist.com/posts/5195031,For Sale:  Marlin 30-30 336,"N topeka, Topeka, Kansas",$ 325,"Listed On: Saturday, February 20, 2016",Rifles,Marlin                                                                                ,30-30 Winchester                                                                                ,Lever Action                                                                                ,Rifle,Older Marlin 30-30 336 in great shape. Has only 40 rounds through it and I have no use for it. I'll throw in some rounds as well
34,http://www.armslist.com/posts/5195034,For Sale:   Sub 2000 KelTec Threaded Barrel GLOCK 19 9mm,"LaPorte - NWI, South Bend, Indiana",$ 375,"Listed On: Friday, April 29, 2016",Rifles,Kel-Tec                                                                                ,9mm Luger (9x19)                                                                                ,Semi-automatic                                                                                ,Rifle,"Please read the entire ad to determine if you are willing to meet the terms of sale and or if your question is answered within. Serious inquiries only. Price firm. No trades. Will not respond to offers below price.  Thank you. If the ad is active the item is available. Low round count Gen 1 with professionally threaded barrel. Have used with suppressor - threads are perfect. Picture illustrates how far the rifle will fold currently with the stock sight in place. It was professionally moved back to allow threads. I purchased new. Believe it was shipped with one 10 rd GLOCK mag. That is what will be included. Signed bill of sale, legibly printed name, serial number of rifle. Show valid IN DL. No information will be recorded Contact thru Armslist email. If you commit to buy I will call or text you if you would like. Price is firm. Cash only. Meet in LaPorte city limits and location will be dependent on your inbound route / location for your convenience. Indy or South(ish) buyers can meet in Eastern LaPorte County about 20 miles West of Hwy 31. Thank you for looking.  IN Residents only. No shipping."
