CA_code,VA_code,estimate,ASE,flag
C01T,V01A,83.6,1.8,
C01T,V01B,16.4,1.8,
C01T,V01C,32.2,6.2,
C01T,V01D,24.2,5.7,
C01T,V01E,43.7,6.7,
C01T,V02A,63.4,2.3,
C01T,V02B,36.6,2.3,
C01T,V02C,18.4,3.3,
C01T,V02D,15.9,3.5,
C01T,V02E,26.1,3.1,
C01T,V02F,39.5,4.2,
C01T,V03A,46.9,2.3,
C01T,V03B,83,1.6,
C01T,V03C,30.9,2.1,
C01T,V04A,16.5,1.6,
C01T,V04B,2.7,0.8,*
C01T,V04C,4.3,0.9,
C01T,V04D,76.4,1.6,
C01T,V05A,61.6,2.5,
C01T,V05B,5.3,1.1,
C01T,V05C,4.9,0.8,
C01T,V05D,28.3,2,
C01T,V06A,27.9,2,
C01T,V06B,6.5,1.2,
C01T,V06C,5.5,1.1,
C01T,V06D,60.1,2.2,
C01T,V07A,5.8,0.9,
C01T,V07B,1.4,0.5,*
C01T,V07C,2.6,0.7,
C01T,V07D,90.3,1.2,
C01T,V08A,5.3,0.9,
C01T,V08B,2,0.6,*
C01T,V08C,3.5,0.8,
C01T,V08D,89.2,1.2,
C01T,V09A,11.3,1.3,
C01T,V09B,2.4,0.6,
C01T,V09C,5.3,1.1,
C01T,V09D,81.1,1.7,
C01T,V10A,8.1,1.2,
C01T,V10B,3,0.9,
C01T,V10C,5.5,1,
C01T,V10D,83.3,1.7,
C01T,V11A,34.4,2.4,
C01T,V11B,3.8,1.5,*
C01T,V11C,7.1,2,
C01T,V11D,36.6,3.5,
C01T,V11E,52.6,3.6,
C01T,V12A,40.4,2.4,
C01T,V12B,5.6,2.1,*
C01T,V12C,7.7,2.5,*
C01T,V12D,27.7,3.1,
C01T,V12E,59,3.9,
C01T,V13A,46.2,2.4,
C01T,V13B,3.4,1.3,*
C01T,V13C,6.6,1.8,
C01T,V13D,33.9,3.1,
C01T,V13E,56,3.1,
C01T,V14A,41.7,2.4,
C01T,V14B,2.5,1.1,*
C01T,V14C,4.5,1.3,*
C01T,V14D,32.7,2.6,
C01T,V14E,60.4,2.9,
C01T,V15A,33.1,2.3,
C01T,V15B,4.8,1.7,*
C01T,V15C,4.6,1.5,*
C01T,V15D,30.4,3.4,
C01T,V15E,60.3,3.8,
C01T,V16A,49.3,2.2,
C01T,V16B,3.8,1.4,*
C01T,V16C,6.4,1.9,*
C01T,V16D,29.4,2.8,
C01T,V16E,60.4,3,
C01T,V17A,67.2,2.3,
C01T,V17B,19,2.3,
C01T,V17C,13.6,1.6,
C01T,V17D,31.8,2.4,
C01T,V17E,35.5,2.5,
C01T,V18A,56,2.1,
C01T,V18B,63.9,2.8,
C01T,V18C,11.4,2.1,
C01T,V18D,18.1,2.3,
C01T,V18E,6.6,1.5,
C01T,V19A,30,1.8,
C01T,V19B,40.5,3.6,
C01T,V19C,16.3,3.1,
C01T,V19D,24.9,3.4,
C01T,V19E,18.3,2.9,
C01T,V20A,4.7,0.9,
C01T,V20B,33.9,10.6,*
C01T,V20C,7.6,4.9,**
C01T,V20D,23.5,9.3,*
C01T,V20E,35,9.1,
C01T,V21A,25.4,1.9,
C01T,V21B,29.6,3.6,
C01T,V21C,13.6,3.1,
C01T,V21D,26.2,3.5,
C01T,V21E,30.6,4.1,
C01T,V22A,22.4,1.8,
C01T,V22B,9.7,2.8,
C01T,V22C,8,3.2,*
C01T,V22D,21.1,3.7,
C01T,V22E,61.1,5.1,
C02A,V00T,15.5,0,
C02B,V00T,34.3,0,
C02C,V00T,31.1,0,
C02D,V00T,19,0,
C02A,V01A,67.3,7,
C02B,V01A,75.8,3.7,
C02C,V01A,90.3,2.5,
C02D,V01A,95.9,1.6,
C02A,V01B,32.7,7,
C02B,V01B,24.2,3.7,
C02C,V01B,9.7,2.5,
C02D,V01B,4.1,1.6,*
C02A,V01C,32,13.7,*
C02B,V01C,38.1,8.4,
C02C,V01C,23.6,11.1,*
C02D,V01C,S,,
C02A,V01D,29,13.3,*
C02B,V01D,20.5,7.1,*
C02C,V01D,29.8,12.3,*
C02D,V01D,18.9,16.5,**
C02A,V01E,39,16.2,*
C02B,V01E,41.4,8.7,
C02C,V01E,46.6,12.7,
C02D,V01E,79.3,16.9,
C02A,V02A,42.9,8.2,
C02B,V02A,54.2,4,
C02C,V02A,68.9,3.6,
C02D,V02A,82.4,3.5,
C02A,V02B,57.1,8.2,
C02B,V02B,45.8,4,
C02C,V02B,31.1,3.6,
C02D,V02B,17.6,3.5,
C02A,V02C,13.2,8.4,**
C02B,V02C,11.1,3.7,*
C02C,V02C,26.7,6.2,
C02D,V02C,38.6,9.5,
C02A,V02D,26.3,10.7,*
C02B,V02D,20,4.7,
C02C,V02D,7.4,3.6,*
C02D,V02D,S,,
C02A,V02E,22.4,7.7,*
C02B,V02E,26.7,5.1,
C02C,V02E,29,5.9,
C02D,V02E,21.7,7.8,*
C02A,V02F,38.1,10.2,
C02B,V02F,42.1,6.1,
C02C,V02F,36.9,6.5,
C02D,V02F,37.7,9.7,
C02A,V03A,44.6,6.3,
C02B,V03A,38.3,4.4,
C02C,V03A,52.8,3.7,
C02D,V03A,54.7,4.5,
C02A,V03B,79.2,5.4,
C02B,V03B,77.3,2.5,
C02C,V03B,86.4,2.6,
C02D,V03B,90.9,2.6,
C02A,V03C,27.5,6.3,
C02B,V03C,24.5,3.8,
C02C,V03C,35.1,3.4,
C02D,V03C,38.1,4.2,
C02A,V04A,29.9,6.4,
C02B,V04A,15,2.8,
C02C,V04A,12.5,2.2,
C02D,V04A,15,3,
C02A,V04B,5.8,4.3,**
C02B,V04B,3.4,1.5,*
C02C,V04B,1.7,0.8,*
C02D,V04B,0.6,0.5,**
C02A,V04C,8.3,3.4,*
C02B,V04C,5.1,1.6,*
C02C,V04C,2.6,1,*
C02D,V04C,2.5,1.3,**
C02A,V04D,55.9,7.2,
C02B,V04D,76.5,3,
C02C,V04D,83.2,2.5,
C02D,V04D,81.9,3.4,
C02A,V05A,61.2,6,
C02B,V05A,61.4,4,
C02C,V05A,63.5,3.6,
C02D,V05A,58.9,4.4,
C02A,V05B,7.3,3,*
C02B,V05B,6.5,1.9,
C02C,V05B,4.1,1.2,
C02D,V05B,3.3,1.4,*
C02A,V05C,5.9,2.9,**
C02B,V05C,5.2,1.6,*
C02C,V05C,5.3,1.7,*
C02D,V05C,2.9,1.4,*
C02A,V05D,25.6,5.1,
C02B,V05D,26.9,3.6,
C02C,V05D,27.1,3.4,
C02D,V05D,34.9,4,
C02A,V06A,37.1,6.5,
C02B,V06A,34,3.2,
C02C,V06A,23.8,3.2,
C02D,V06A,16.2,2.9,
C02A,V06B,10.8,3.6,*
C02B,V06B,9.1,2.4,
C02C,V06B,4.4,1.6,*
C02D,V06B,1.6,1.2,**
C02A,V06C,7,2.9,*
C02B,V06C,6.5,2,*
C02C,V06C,5.2,1.8,*
C02D,V06C,3.2,1.5,*
C02A,V06D,45.1,6.8,
C02B,V06D,50.3,3.6,
C02C,V06D,66.7,3.7,
C02D,V06D,79,3.1,
C02A,V07A,13.4,3.9,
C02B,V07A,4.5,1.5,*
C02C,V07A,4.1,1.5,*
C02D,V07A,4.8,1.6,*
C02A,V07B,2.4,2,**
C02B,V07B,1.5,1,**
C02C,V07B,1.3,0.9,**
C02D,V07B,S,,
C02A,V07C,5.8,3.4,**
C02B,V07C,1.6,0.9,**
C02C,V07C,2.6,1.1,*
C02D,V07C,1.6,1,**
C02A,V07D,78.5,5.3,
C02B,V07D,92.4,2,
C02C,V07D,92,2.1,
C02D,V07D,93.3,1.7,
C02A,V08A,13.5,4.2,*
C02B,V08A,3.9,1.2,*
C02C,V08A,3.3,1.3,*
C02D,V08A,4.5,1.6,*
C02A,V08B,5.5,3,**
C02B,V08B,2.2,1.1,*
C02C,V08B,0.7,0.5,**
C02D,V08B,1.2,0.9,**
C02A,V08C,5.9,2.4,*
C02B,V08C,3.6,1.5,*
C02C,V08C,2.8,1.2,*
C02D,V08C,2.4,1.3,**
C02A,V08D,75.1,4.6,
C02B,V08D,90.3,2,
C02C,V08D,93.2,1.9,
C02D,V08D,91.9,2.2,
C02A,V09A,10.3,4.1,*
C02B,V09A,8.5,1.9,
C02C,V09A,10.9,2,
C02D,V09A,17.5,2.8,
C02A,V09B,4.1,2.2,**
C02B,V09B,2.7,1,*
C02C,V09B,1.7,0.9,**
C02D,V09B,1.7,1.2,**
C02A,V09C,7.8,3.9,**
C02B,V09C,6.1,2,*
C02C,V09C,4.7,1.2,
C02D,V09C,2.5,1,*
C02A,V09D,77.9,6,
C02B,V09D,82.7,2.8,
C02C,V09D,82.7,2.4,
C02D,V09D,78.3,3.4,
C02A,V10A,12.8,4,*
C02B,V10A,7.8,2,
C02C,V10A,8.3,2.1,
C02D,V10A,4.7,1.5,*
C02A,V10B,6.5,3.5,**
C02B,V10B,3.5,1.6,*
C02C,V10B,1.7,1,**
C02D,V10B,1.6,1.1,**
C02A,V10C,9.5,3.9,*
C02B,V10C,5.2,1.8,*
C02C,V10C,5.3,1.9,*
C02D,V10C,3.1,1.2,*
C02A,V10D,71.3,6.8,
C02B,V10D,83.5,2.7,
C02C,V10D,84.7,2.5,
C02D,V10D,90.7,2.3,
C02A,V11A,39,6.6,
C02B,V11A,33.4,3.6,
C02C,V11A,34.5,3.6,
C02D,V11A,32.2,4.1,
C02A,V11B,8.1,6.3,**
C02B,V11B,3.5,2.3,**
C02C,V11B,1.4,1.3,**
C02D,V11B,4.2,2.8,**
C02A,V11C,8,5.6,**
C02B,V11C,4.8,2.7,**
C02C,V11C,8.4,3.8,*
C02D,V11C,8.1,4.9,**
C02A,V11D,43.9,9.9,
C02B,V11D,31.5,6.1,
C02C,V11D,36.6,6.6,
C02D,V11D,38.5,5.9,
C02A,V11E,40,9.4,
C02B,V11E,60.1,6.2,
C02C,V11E,53.6,7.1,
C02D,V11E,49.3,6.8,
C02A,V12A,51.7,7,
C02B,V12A,43,3.9,
C02C,V12A,38.8,4,
C02D,V12A,29.2,3.5,
C02A,V12B,12.5,6.6,**
C02B,V12B,2.3,1.8,**
C02C,V12B,5.3,2.7,**
C02D,V12B,5.1,2.7,**
C02A,V12C,9.7,5.9,**
C02B,V12C,9.1,5.1,**
C02C,V12C,3.8,2.3,**
C02D,V12C,9.3,5.5,**
C02A,V12D,23.9,7.5,*
C02B,V12D,24.6,5,
C02C,V12D,31.4,6,
C02D,V12D,33.9,8.4,
C02A,V12E,53.9,10,
C02B,V12E,64,5.9,
C02C,V12E,59.5,6.7,
C02D,V12E,51.7,7.5,
C02A,V13A,60.9,6.4,
C02B,V13A,47.6,3.3,
C02C,V13A,42.8,3.7,
C02D,V13A,37.2,4.1,
C02A,V13B,8.6,5.4,**
C02B,V13B,1.8,1.3,**
C02C,V13B,2,1.3,**
C02D,V13B,2.9,2,**
C02A,V13C,7.2,3.3,*
C02B,V13C,5.1,2.7,**
C02C,V13C,5.8,2.8,*
C02D,V13C,11.1,4.8,*
C02A,V13D,39.9,8.3,
C02B,V13D,36.4,5.1,
C02C,V13D,29.7,5.4,
C02D,V13D,28,6.9,
C02A,V13E,44.4,8.6,
C02B,V13E,56.6,5.7,
C02C,V13E,62.5,5.6,
C02D,V13E,58,7.4,
C02A,V14A,33.4,6.4,
C02B,V14A,45.6,4,
C02C,V14A,44.7,4.1,
