title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
"Piano Concerto no. 2 in B-flat major, op. 83: I. Allegro non troppo",Johannes Brahms,Brahms: Piano Concerto no. 2 / Beethoven: Sonata no. 23 Appassionata,0.0194460824132,0.980553925037,0.864819407463,0.00205270317383,0.00466704834253,0.07380247861150000,0.0142430085689,0.0317771323025,0.00247299275361,0.006165235769,0.07717928290370000,0.04441010952,0.228002399206,0.0306766312569,0.619731545448,0.946387171745,0.0536127984524,0.999999880791,1.00375160628E-07,0.013782481662900000,109.178222656,spotify:track:4IQmipAoTGNYc0aDZ7Vll5,2,14,15,17,19,1
Pull the Trigger,The Shrine,Rare Breed,0.0422322414815,0.957767784595,0.562241971493,0.008220843039450000,0.0164366234094,0.116006232798,0.042670901864800000,0.0405934453011,0.194099202752,0.0197308082134,0.269358694553,0.0685554519296,0.0650186911225,0.181771874428,0.415295302868,0.97533673048,0.0246632825583,0.994495034218,0.005504971370100000,0.937773168087,109.245063782,spotify:track:0UYDOKxXz59Y1QzWEJfjot,2,14,15,17,19,1
Esquina,Dino Saluzzi & Anja Lechner,Ojos Negros,0.0267660282552,0.973233997822,0.942472398281,0.0022675616201,0.00325511442497,0.0164872091264,0.00428085494787,0.0272102952003,0.00258252955973,0.00144403171726,0.0667360648513,0.0490968413651,0.326404422522,0.048267044127,0.509495615959,0.8288912773130000,0.171108737588,0.999999880791,1.03498777548E-07,0.00744347414002,109.428359985,spotify:track:04FEvDaMjuoscNVwWbin2h,2,14,15,17,19,1
Hey Jude (sessions),The Beatles,Down in Havana,1.01185886059E-10,1.0,0.753031015396,0.00597091158852,0.016975980252,0.0780431255698,0.0111102778465,0.0262647867203,0.0220924764872,0.0865113958716,0.07750144600870000,0.0446316674352,0.227397248149,0.0307296682149,0.619739949703,0.8112920522690000,0.188707917929,0.553582310677,0.446417689323,0.848791241646,109.63835144,Not Found,2,14,15,17,19,1
All Our Days,Sandy Denny,No More Sad Refrains: The Anthology (Disc 2),0.0216130279005,0.978386998177,0.7261902093890000,0.00308206584305,0.00441266037524,0.13872408866900000,0.0576201044023,0.0498288199306,0.0073939836584,0.0127480421215,0.077731244266,0.142366036773,0.295491099358,0.0834667012095,0.400944948196,0.850175440311,0.149824529886,0.906511425972,0.0934886038303,0.0607422888279,109.82875824,spotify:track:3R81Fgpenb8uC6TGwga60F,2,14,15,17,19,1
"Concerto for Flute and Harp in C major, K. 299: II. Andantino",Wolfgang Amadeus Mozart,The Very Best of Mozart,0.00299671548419,0.997003257275,0.8662250041960000,0.00127892987803,0.00200785160996,0.0524839051068,0.0064492598176,0.06733310222630000,0.00160415109713,0.00261777988635,0.083269700408,0.0758350715041,0.254618555307,0.0466418676078,0.539634823799,0.978678762913,0.021321214735500000,0.999988794327,1.1193710634E-05,0.042174834758,109.87099456800000,spotify:track:2VnPzhqeh11DG6IBbFELDW,2,14,15,17,19,1
Eastern Innersense,David Wright,Between Realities,0.101638570428,0.898361444473,0.824891924858,0.006125179119410000,0.0265847165138,0.0210391506553,0.026092270389200000,0.0752942040563,0.0137159423903,0.00625663856044,0.0769373998046,0.0450768508017,0.227544561028,0.0309656467289,0.619475543499,0.984757006168,0.0152429901063,0.999999761581,2.29419939046E-07,0.275112211704,109.94849395800000,spotify:track:07NC9tny0ZFuZHPZQvMIpl,2,14,15,17,19,1
Der Freischütz: Overture,Pyotr Ilyich Tchaikovsky,"The Complete EMI Recordings 1946-1984, Volume 1: Orchestral",0.0254621151835,0.974537909031,0.8637237548830000,0.00219838158228,0.004938399419190000,0.0853762552142,0.00667957914993,0.029145790264,0.00252065132372,0.005417197942730000,0.0723691210151,0.047596890479300000,0.267915904522,0.038850530982,0.573267579079,0.834919452667,0.165080547333,0.8027040362360000,0.197295963764,0.0108872046694,110.007476807,Not Found,2,14,15,17,19,1
"Sonata No. 26 in E-flat major, Op. 81a Les Adieux: I. Adagio - Allegro Les Adieux","Beethoven, Ludwig van (1770-1827)","#4 Sonatas: op. 10, 28 Pastoral, 49, 81 Les Adieux, 109, 110, 111",0.00276192044839,0.997238099575,0.961558759212,0.0004940160433760000,0.00127089757007,0.0234596896917,0.00160831725225,0.005826774518940000,0.000346224638633,0.00543531961739,0.0769915953279,0.06967318058010000,0.373459070921,0.06030300632120000,0.419573158026,0.8971008062360000,0.102899216115,0.994217038155,0.005782989319410000,0.0347815826535,110.294013977,Not Found,2,14,15,17,19,1
"Piano Trio no. 1 in D minor, op. 49: I. Molto allegro agitato",Felix Mendelssohn,Piano Trios,0.0142592517659,0.985740721226,0.879244089127,0.00275591458194,0.0046697081998,0.0732273980975,0.0115387057886,0.0115632293746,0.00472397450358,0.0122769623995,0.07449788600210000,0.0708908960223,0.248840779066,0.0440082922578,0.561762154102,0.812375426292,0.187624558806,0.999993681908,6.34382013232E-06,0.123986467719,110.44190979,spotify:track:4Py2NS1Cn75pZoeFIz62GJ,2,14,15,17,19,1
