title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Via Trucis IX,Tam Quam Tabula Rasa,Fabula Rasa,0.375109612942,0.6248903870580000,0.981894910336,0.000253871898167,0.0073226569220400000,0.0028972842264900000,0.000186823366676,0.0008247889345510000,0.00623841630295,0.0003812698705590000,0.0655289664865,0.0507965274155,0.08351321518420000,0.06454133987430000,0.7356199622150000,0.205758094788,0.794241905212,0.968810021877,0.031189993023900000,0.2311437428,109.224143982,Not Found,2,14,16,17,19,1
Two,"Steve Roach, Byron Metcalf & Mark Seelig",Mantram,0.07652653753760000,0.923473477364,0.331839293242,0.011649251915500000,0.0473576821387,0.28656402230300000,0.081371769309,0.19559122622000000,0.0204719156027,0.0251548457891,0.0736949518323,0.0603433735669,0.222937986255,0.0432777404785,0.599745929241,0.0638078302145,0.936192154884,0.999999940395,8.13302065694E-08,0.00664176698774,109.361724854,spotify:track:6pkJKzsuKwr04iClM2nVNF,2,14,16,17,19,1
Fans Interviewed Outside The Plaza Barque Hotel (02-10-64),The Beatles,"Rare Photos & Interview CD, Volume 2",0.00410357164219,0.995896399021,0.814221322536,0.00185460981447,0.00601931614801,0.035692512989,0.00473226141185,0.011318758130100000,0.00309923570603,0.123061977327,0.218956306577,0.141591057181,0.216530278325,0.144745334983,0.278177022934,0.0454484634101,0.954551517963,0.614832639694,0.385167360306,0.79687911272,109.38996124300000,Not Found,2,14,16,17,19,1
Cloud Cover,James Plotkin & Brent Gutzeit,Mosquito Dream,4.19140775421E-08,0.999999940395,0.964509963989,0.000990942935459,0.00426681013778,0.015923151746400000,0.00094347045524,0.0048709562979600000,0.00151843915228,0.00697624869645,0.07104834914210000,0.07793665677310000,0.256931006908,0.0517101958394,0.542373776436,0.007294045295570000,0.9927059412,0.999999880791,1.39557570833E-07,0.610073983669,109.425285339,spotify:track:2dA7w5Cbdcl9tXBHqKLlUH,2,14,16,17,19,1
Night 2: Invocation,Hall of Mirrors,Altered Nights,0.0306994020939,0.969300568104,0.619801938534,0.0134113831446,0.0262424293905,0.034357447177200000,0.0531747117639,0.04443042725320000,0.102693840861,0.105887837708,0.0772222056985,0.044403500855,0.227748990059,0.0306323803961,0.619992911816,0.013152398169,0.986847579479,0.8696667551990000,0.130333259702,0.489952474833,109.621162415,Not Found,2,14,16,17,19,1
Burning Holes in the Sky,yellow6,Merry6mas2007,0.0031589299906,0.996841073036,0.988605558872,0.000749123923015,0.0022822571918400000,0.0009860474383460000,0.00049356900854,0.0016992177115800000,0.00313953473233,0.00204470800236,0.07028166949750000,0.108285963535,0.317125797272,0.0563892349601,0.447917342186,0.030009303242,0.969990670681,1.0,9.09188210829E-11,0.383867591619,109.681381226,Not Found,2,14,16,17,19,1
To Storm the Cyclopean Gates of Byzantium,Bal-Sagoth,The Chthonic Chronicles,0.32752802968,0.6724720001220000,0.327185809612,0.017983805388200000,0.013034549541800000,0.112310774624,0.214642196894,0.112408868968,0.181645140052,0.0207888428122,0.113038487732,0.122077390552,0.281991094351,0.129768803716,0.3531242311,0.278359085321,0.721640884876,0.985606491566,0.0143934916705,0.556630194187,109.72343444800000,spotify:track:11MSj37f2qZREJDO3j6Hkf,2,14,16,17,19,1
Cloudfall,Jeff Pearce,With Evening Above,0.00260336603969,0.99739664793,0.911685466766,0.00216340459883,0.00201623886824,0.00802099332213,0.0026723807677600000,0.0146548254415,0.0527976341546,0.005989084485920000,0.08565013110640000,0.107309028506,0.342781096697,0.07347733527420000,0.390782415867,0.0262283459306,0.973771631718,1.0,1.59788697829E-08,0.49519443512,109.84106445300000,spotify:track:54ybPTEZQr7q90aekAiGx7,2,14,16,17,19,1
Heute Nacht ist mein Tag,Samsas Traum,Oh Luna mein,0.312282323837,0.6877176761630000,0.253759741783,0.0283301379532,0.114221133292,0.0957329571247,0.225503325462,0.226266592741,0.0299387723207,0.0262473449111,0.0581642761827,0.07656432688240000,0.34005895257,0.15289324522,0.372319191694,0.123275190592,0.876724779606,0.942135453224,0.0578645691276,0.27049276232700000,109.949707031,spotify:track:0lywCPNL0VmZQHP6qZ1cPV,2,14,16,17,19,1
The Day We Ommed on Next Doors Coffee Table,Wat Tyler,Im Forever Blowing Bubbles: The Seedy Side of...,2.21301754699E-09,1.0,0.933106184006,0.00214449386112,0.0286356452852,0.00953438598663,0.00369021040387,0.0101303840056,0.004174984991550000,0.0085836853832,0.0772520527244,0.0444175936282,0.227708771825,0.0306384693831,0.619983136654,0.151991888881,0.8480080962180000,0.909788370132,0.0902116298676,0.601853430271,109.96673584,Not Found,2,14,16,17,19,1
