title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Winter Walk,David Nevue,Overcome,4.6351947276E-06,0.999995350838,0.949372589588,0.00175518612377,0.0045552784577,0.025698563084,0.00185337546282,0.00480914395303,0.00123112928122,0.010724728927,0.102794125676,0.180211663246,0.489971607924,0.168359562755,0.0586630441248,0.029709981754400000,0.970290005207,0.999999165535,8.4765400743E-07,0.07444009184840000,109.068656921,spotify:track:1dtLmc3kWLYqFZfR7JVnjx,2,12,16,17,19,1
First Kiss,Howard Shore,The Twilight Saga - Eclipse ,0.015672925859700000,0.984327077866,0.8151157498360000,0.0039510275237300000,0.00680267391726,0.12544345855700000,0.00530605902895,0.0300698578358,0.00782110262662,0.00549007300287,0.0507163628936,0.0339901782572,0.827262818813,0.0757676512003,0.012262980453700000,0.205910459161,0.7940895557400000,0.99999833107,1.65689209553E-06,0.0386720784009,109.088523865,spotify:track:2TXJqpfDHfadHDZGHwLbim,2,12,16,17,19,1
Equal Ourselves,Helios,Moiety,0.00446022022516,0.995539784431,0.932286918163,0.00248281867243,0.0008796759648250000,0.0137045495212,0.0156275369227,0.0224270485342,0.0111613376066,0.00143014185596,0.101808063686,0.09446553885940000,0.5915532708170000,0.177168145776,0.0350049473345,0.183670714498,0.816329300404,0.999999165535,8.48539514209E-07,0.508686840534,109.20262146,spotify:track:3P8K105H7ecziOaAuVh4RN,2,12,16,17,19,1
Suspicion,Jeff Mills,Fantastic Voyage,0.296675890684,0.703324139118,0.402677565813,0.0108986357227,0.0420572943985,0.374999016523,0.0131003148854,0.123691484332,0.0104162544012,0.0221594274044,0.0502404980361,0.0376444272697,0.767900645733,0.0687424317002,0.075471997261,0.0665745809674,0.933425426483,0.996704936028,0.00329506676644,0.147860616446,109.243103027,Not Found,2,12,16,17,19,1
Distress,Dougie MacLean,Sunset Song,0.07705127447840000,0.922948718071,0.814281523228,0.0027300841175000000,0.00912910979241,0.120352163911,0.0065737105906,0.034223113209000000,0.0046761939302100000,0.00803412497044,0.18107418716,0.170287355781,0.296401143074,0.0913251712918,0.260912150145,0.0396843925118,0.960315585136,0.999999523163,4.54090439916E-07,0.214136362076,109.399620056,spotify:track:2lzwwy9W8is0QvtiC865NA,2,12,16,17,19,1
The Temple of Issus,Michael Giacchino,John Carter,0.106213271618,0.893786728382,0.600083708763,0.00372342136689,0.0352101959288,0.108093991876,0.0167462546378,0.221531897783,0.00221562571824,0.0123948771507,0.0424488857388,0.14906585216500000,0.5677485466,0.122341223061,0.118395470083,0.00752496439964,0.992475032806,0.999989569187,1.044165856E-05,0.0006703688413840000,109.41946411100000,spotify:track:7gdHZxhr2HY4DVdlQXWoWc,2,12,16,17,19,1
Welcome to Bright Falls,Petri Alanko,Alan Wake,0.0113491518423,0.988650858402,0.818320572376,0.003697586013,0.0117532461882,0.110618859529,0.0111220311373,0.0309071000665,0.00365418451838,0.00992643274367,0.139151886106,0.107177756727,0.35303699970200000,0.13310249149800000,0.267530858517,0.0871431306005,0.91285687685,0.987271726131,0.0127282822505,0.00295908050612,109.53562927200000,spotify:track:29yIEl0zFoEuw2Y1AiLBbf,2,12,16,17,19,1
Doc Dies,Bruce Broughton,Tombstone,0.00743027450517,0.992569744587,0.892696499825,0.00265695899725,0.007953893393280000,0.0652865543962,0.00646636728197,0.0119438311085,0.00252479454502,0.0104711186141,0.0338121466339,0.14200338721300000,0.7417507767680000,0.0740467756987,0.00838690809906,0.0198014862835,0.980198502541,0.999992787838,7.23243692846E-06,0.06356791406870000,109.547203064,Not Found,2,12,16,17,19,1
The Georgia Skin Game (Spoken),Jelly Roll Morton,The Complete Library of Congress Recordings,1.0218270674E-10,1.0,0.935064375401,0.000105741062725,0.0008775264141150000,0.0170315932482,0.0006135239382270000,0.0276550017297,0.000522842281498,0.0181293673813,0.0527899675071,0.139484390616,0.397323578596,0.24272634089,0.167675718665,0.0153711540624,0.984628856182,0.999999165535,8.46621333039E-07,0.451095312834,109.68170929,Not Found,2,12,16,17,19,1
(It Will Have to Do) Until the Real Thing Comes Along,Sonny Stitt,"Stitts Bits: The Bebop Recordings, 1949-1952",0.0416640564799,0.958335936069,0.5771510005,0.005517748184500000,0.0187359973788,0.225770846009,0.0404444374144,0.06327758729460000,0.0199160277843,0.0491863638163,0.152308672667,0.128555297852,0.34601667523400000,0.169275224209,0.203844130039,0.0483855009079,0.951614499092,0.925570845604,0.0744291320443,0.371663272381,109.71803283700000,spotify:track:4Y4X84HPXNxmu5EZ0Zd5U9,2,12,16,17,19,1
