title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Lights Out,Owen,I Do Perceive,0.549912273884,0.450087696314,0.244602277875,0.026537138968700000,0.0762613192201,0.0984542146325,0.156852096319,0.16084143519400000,0.194934740663,0.0415167696774,0.059466291219,0.11839543283,0.509454846382,0.108832120895,0.203851342201,0.8330134749410000,0.16698651015800000,0.975956678391,0.0240432973951,0.607410550117,77.89093780520000,spotify:track:6n1EF0q9Ix9Bx12CtsUT3S,2,12,15,17,20,0
Phonetic Alphabet - NATO (3),The Conet Project,Recordings of Shortwave Numbers Stations,0.999999880791,1.00000008274E-07,0.398721694946,0.0200223010033,0.110010884702,0.203023076057,0.0205542761832,0.122368596494,0.0655817463994,0.0597174167633,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0208478681743,0.979152143002,0.999988675117,1.13472906378E-05,0.803364098072,79.0668334961,Not Found,2,14,16,17,20,0
untitled,Crystal Viper,Crimen Excepta,0.875704288483,0.124295733869,0.312171548605,0.0361085496843,0.15021997690200000,0.050864495337000000,0.026199910789700000,0.24432040751,0.0531822070479,0.126932889223,0.193729698658,0.06549242138860000,0.50801640749,0.07844550907610000,0.154315948486,0.0500091612339,0.949990808964,0.8460374474530000,0.15396258235,0.677383422852,79.71426391600000,Not Found,2,12,16,17,20,0
Moonlight Serenade,Glenn Miller,Portrait,0.999999880791,1.00000008274E-07,0.73648750782,0.00357178389095,0.00426238961518,0.176566570997,0.01767911762,0.034051410853900000,0.0094771143049,0.0179040953517,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0685399323702,0.931460082531,0.983224868774,0.0167751070112,0.904901087284,79.7289886475,spotify:track:3ziJFd6JeioC8Xfct0UXpJ,2,14,16,17,20,0
Intro: Schlechte Laune,WIZO,UUAARRGH!,0.516813337803,0.483186632395,0.420978307724,0.007775228004900000,0.0826144963503,0.233202114701,0.020050475373900000,0.0559685081244,0.008967120200400000,0.17044375836800000,0.0587892234325,0.297877728939,0.102078147233,0.266417443752,0.274837464094,0.791621804237,0.208378225565,0.00028320675483,0.999716818333,0.308153629303,79.9078216553,Not Found,2,11,15,18,20,0
Mare Marginis,Elliott Sharp,Octal: Book Three,0.507670640945,0.492329388857,0.367676615715,0.0136846452951,0.0416652075946,0.26513761282,0.0390384197235,0.147869959474,0.0337964743376,0.091131053865,0.152938693762,0.15798933804,0.462341398001,0.051247142255300000,0.17548345029400000,0.313956677914,0.6860433220860000,0.999999761581,2.54536615785E-07,0.967775404453,82.64952087400000,spotify:track:0836J4W9pBCf0FgGN9XC56,2,12,16,17,20,0
Pinking,The Conet Project,Recordings of Shortwave Numbers Stations - 1111 / CD5,0.8029461503030000,0.197053834796,0.507073283195,0.0074870060198,0.0791015997529,0.149334222078,0.0141033316031,0.0332287698984,0.00969005003572,0.199981763959,0.121440373361,0.06674610823390000,0.149606645107,0.0565628670156,0.605643987656,0.964332997799,0.0356669984758,0.999999940395,3.29398694987E-08,0.937983155251,85.8587036133,spotify:track:6yxVewByzUGm2zQyjdeoMj,2,14,15,17,20,0
Intro,DJ Format,Music for the Mature B-Boy,0.876087248325,0.123912766576,0.590005040169,0.00931888166815,0.0659214109182,0.115062654018,0.0334642343223,0.08888391405340000,0.0233587808907,0.07398508489130000,0.112628743052,0.16978739202000000,0.13588744401900000,0.268713384867,0.312983036041,0.044645253568900000,0.955354750156,0.946781933308,0.0532180927694,0.70502102375,87.1511611938,spotify:track:3QapHXIe6LHWzryiAWN02a,2,14,16,17,20,0
A Chance at Reprisal,Agoraphobic Nosebleed,Altered States of America,0.951658129692,0.048341855406800000,0.479954987764,0.0141246337444,0.0975029990077,0.0457146055996,0.0311574488878,0.044301725924,0.0985046476126,0.188738957047,0.020254287868700000,0.036875210702400000,0.023993588984,0.0715649873018,0.8473119139670000,0.237709328532,0.762290656567,0.135794460773,0.864205539227,0.958222568035,87.75695800780000,spotify:track:3f3FZiquR1CqFQBKYdGxKp,2,14,16,18,20,0
Bronze and Baby Shoes,Swell Maps,A Trip To Marineville,0.8274417519570000,0.172558277845,0.5824993848800000,0.0110365580767,0.0149590764195,0.00921345409006,0.0717206820846,0.0259980708361,0.275385946035,0.00918686017394,0.06157624349,0.0510440133512,0.06846617907290000,0.116033643484,0.7028799057010000,0.366258054972,0.633741915226,0.0213601514697,0.97863984108,0.963659465313,87.9347839355,spotify:track:5mm1RuAU5BR2RReKrwNpiK,2,14,16,18,20,0
