word,count
the,66358
of,43288
and,25672
a,22329
to,19495
in,18468
is,12320
for,9827
with,9528
that,9451
We,7462
The,7254
by,6807
are,6575
on,6301
we,6067
as,5357
an,4583
from,4471
be,4347
at,4304
this,4108
which,3788
can,3359
In,2912
1,2855
model,2822
2,2816
two,2452
0,2329
between,2164
field,2142
or,2110
have,2099
time,2013
energy,1979
This,1974
results,1956
show,1930
data,1908
also,1863
using,1849
these,1810
high,1806
phase,1709
has,1707
system,1679
based,1643
spin,1612
3,1609
it,1605
magnetic,1599
such,1573
our,1516
their,1507
method,1489
study,1484
systems,1483
not,1455
different,1452
one,1441
state,1414
quantum,1411
present,1404
s,1402
temperature,1395
than,1362
large,1353
been,1353
order,1350
find,1337
its,1315
well,1308
mass,1292
new,1273
non,1264
density,1259
low,1258
both,1246
properties,1241
models,1237
A,1221
used,1214
structure,1198
5,1159
theory,1095
observed,1071
range,1068
surface,1067
Our,1063
states,1062
into,1054
10,1024
but,1017
dynamics,1013
analysis,1010
more,1008
dimensional,1007
first,997
where,983
was,964
4,952
transition,935
approach,932
number,931
other,923
effect,916
simulations,905
all,900
single,872
function,871
optical,863
use,853
parameters,844
when,843
three,841
found,840
electron,838
paper,829
only,827
work,823
Here,822
space,818
scale,814
may,809
wave,808
light,780
formation,779
distribution,776
due,770
effects,764
demonstrate,759
potential,759
T,759
gas,758
through,758
observations,756
network,755
star,755
These,731
over,729
up,719
small,718
within,712
evolution,709
It,708
case,705
measurements,702
will,700
provide,699
interaction,698
For,691
obtained,687
strong,686
galaxies,686
frequency,681
numerical,680
matter,679
K,675
were,673
equation,666
stars,666
velocity,660
e,657
how,657
problem,654
coupling,654
emission,648
local,647
band,643
interactions,640
current,640
like,635
most,635
ray,634
equations,632
parameter,632
N,632
6,630
power,630
point,625
type,623
out,621
long,620
very,617
rm,617
many,616
methods,614
networks,612
experimental,610
thermal,608
fields,604
lattice,601
critical,601
particle,598
M,596
However,594
while,593
proposed,587
rate,587
possible,587
linear,585
stellar,584
process,582
information,581
some,580
level,579
conditions,576
symmetry,576
size,570
H,563
spectrum,562
flow,558
z,557
times,553
topological,546
known,544
line,543
particular,543
near,541
experiments,541
X,541
materials,540
dark,537
investigate,536
physical,535
complex,528
each,528
including,528
galaxy,527
pressure,527
behavior,523
limit,522
particles,522
i,519
m,515
form,513
structures,512
important,512
about,511
electronic,508
they,507
effective,507
under,506
same,504
higher,497
several,497
noise,497
x,496
C,494
calculations,490
transport,489
7,489
spectral,485
shown,482
consistent,482
scattering,481
any,479
resolution,478
free,477
significant,476
general,475
spatial,473
induced,472
no,470
terms,470
ground,469
applications,468
finite,468
values,467
presence,466
nonlinear,463
spectra,463
material,462
physics,462
molecular,458
compared,456
performance,456
simple,455
features,454
result,453
set,453
layer,451
solutions,451
boundary,450
alpha,449
discuss,447
even,446
c,444
solution,442
region,442
associated,441
detection,441
value,440
propose,439
could,439
As,438
algorithm,436
regime,435
sample,435
correlation,434
dependent,433
during,432
functions,432
around,430
source,429
charge,429
cluster,429
there,428
applied,426
theoretical,424
studies,423
allows,421
then,416
similar,416
initial,416
self,415
report,412
processes,412
those,412
simulation,411
dynamical,411
measured,410
Using,409
body,409
To,409
8,408
along,407
framework,407
studied,407
recent,403
response,403
flux,403
various,401
modes,401
presented,400
mean,396
beam,395
growth,394
without,393
signal,393
so,392
random,390
sim,387
regions,385
previous,385
derived,382
ratio,382
superconducting,382
atomic,382
By,381
metal,379
solar,379
g,378
coupled,377
sources,377
further,376
plane,375
waves,375
developed,375
provides,374
orbital,374
O,374
corresponding,373
real,372
mathrm,372
Fermi,371
way,371
imaging,371
scales,370
phases,369
planet,368
obtain,368
standard,368
multi,367
mode,366
R,365
role,364
n,364
given,363
driven,363
laser,363
design,359
zero,359
consider,358
gap,357
dependence,356
equilibrium,356
via,355
gravitational,354
shows,354
highly,353
future,353
motion,352
technique,352
if,352
significantly,348
weak,348
clusters,344
planets,344
classical,343
liquid,342
related,341
novel,340
them,339
larger,338
second,338
disk,338
increase,335
polarization,334
mu,334
describe,333
Finally,333
atoms,333
direct,332
I,332
constant,331
water,330
strongly,330
component,329
core,329
dust,329
p,329
thus,328
multiple,328
bulk,328
scheme,327
temperatures,326
matrix,326
measure,326
specific,325
understanding,325
mechanism,323
100,323
lower,322
control,322
orbit,322
factor,320
magnitude,320
group,319
length,317
functional,317
radiation,317
chemical,315
accuracy,315
wide,315
fluid,315
us,314
considered,313
agreement,313
because,313
nature,312
stability,311
test,310
Fe,310
scaling,309
full,308
cases,308
techniques,308
population,308
measurement,308
impact,307
momentum,307
recently,307
background,307
electric,307
derive,306
four,305
B,305
heat,304
strength,304
close,304
addition,304
fundamental,304
redshift,304
described,303
total,302
fluctuations,302
expected,302
determine,300
crystal,300
force,299
efficient,298
efficiency,297
gamma,297
main,296
statistical,295
S,295
devices,295
performed,295
thin,295
investigated,294
sigma,294
radio,294
hole,293
9,293
structural,293
independent,293
approximation,292
L,292
available,292
transfer,292
leads,291
relation,291
here,289
spectroscopy,288
account,287
evidence,286
image,286
electrons,285
good,285
above,285
problems,284
global,284
less,283
lines,282
