,Title,Release.Date,Primary.Genre,Actors,acum_real
3,Prom Night,08/08/2008,Horror,"Andrew Fiscella, Brittany Snow, Collins Pennie, Idris Elba, Jessica Stroup, Johnathon Schaech, Kellan Lutz, Ming-Na Wen, Scott Porter, Thomas Kijas",16394856.0
4,Sweeney Todd,02/08/2008,Musical,"Alan Rickman, Christopher Lee, Helena Bonham Carter, Johnny Depp, Sacha Baron Cohen, Timothy Spall",25252743.0
9,Wes Craven Presents: They,10/28/2005,Horror,"Dagmara Dominczyk, Ethan Embry, Jon Abrahams, Jonathan Cherry, Laura Regan, Marc Blucas",16826369.0
15,Texas Chainsaw Massacre (2003),04/01/2005,Horror,"Erica Leerhsen, Eric Balfour, Jessica Biel, Jonathan Tucker, Mike Vogel",17523864.9999988
17,Lemony Snicket's A Series Of Unfortun...,01/14/2005,Adventure,"Billy Connolly, Catherine O'Hara, Craig Ferguson, Gilbert Gottfried, Jim Carrey, Jude Law, Luis GuzmÃ¡n, Meryl Streep, Timothy Spall",40446076.999998204
25,Sylvia (2003),02/25/2005,Drama,"Amira Casar, Andrew Havill, Blythe Danner, Daniel Craig, David Birkin, Gwyneth Paltrow, Jared Harris, Liddy Holloway, Lucy Davenport, Michael Gambon",1032585.99999994
28,Ultimo tango a Parigi,11/08/2016,Drama,"Jean-Pierre LÃ©aud, Maria Schneider, Marlon Brando",113130.000000104
29,Mission: Impossible III (2006),05/05/2006,Action,"Aaron Paul, Billy Crudup, Jonathan Rhys Meyers, Keri Russell, Laurence Fishburne, Maggie Q, Michelle Monaghan, Philip Seymour Hoffman, Sasha Alexander, Simon Pegg, Tom Cruise, Ving Rhames",100463707.0
34,First Daughter,04/29/2005,Romantic Comedy,"Amerie Rodgers, Katie Holmes, Lela Rochon Fuqua, Marc Blucas, Margaret Colin, Michael Keaton, Michael Milhoan, Swayne Adway",4650608.99999977
41,Robots,03/11/2005,Animation,"Amanda Bynes, Drew Carey, Ewan McGregor, Gianni Santuccio, Graham Broadbent, Greg Kinnear, Halle Berry, Jennifer Coolidge, Jim Broadbent, Mel Brooks, Robin Williams, Stanley Tucci, Stephen Tobolowsky",117268163.999998
