word,distance
winter,0
 minter,1
 pinter,1
 winder,1
 winger,1
 winner,1
 wintel,1
 wister,1
 witter,1
 hinter,1
 linter,1
 minter,1
 sinter,1
 tinter,1
 wanter,1
 wincer,1
 winder,1
 winger,1
 winier,1
 winker,1
 winner,1
 witter,1
 binger,2
 ginger,2
 gunter,2
 hunter,2
 kinder,2
 lister,2
 manter,2
 minier,2
 mister,2
 ritter,2
 santer,2
 singer,2
 sitter,2
 walter,2
 wiener,2
 wigner,2
 wilber,2
 wilder,2
 wilmer,2
 windex,2
 winton,2
 wintun,2
 wintus,2
 wisner,2
 witmer,2
 witten,2
 wonder,2
 banter,2
 binder,2
 binger,2
 bister,2
 bitter,2
 bunter,2
 canter,2
 center,2
 cinder,2
 dieter,2
 dinger,2
 dinker,2
 dinner,2
 dinted,2
 filter,2
 finder,2
 finger,2
 finner,2
 fitter,2
 ginger,2
 ginner,2
 gunter,2
 hinder,2
 hinger,2
 hinted,2
 hitter,2
 hunter,2
 jilter,2
 jinker,2
 jitter,2
 kilter,2
 kinder,2
 lifter,2
 linger,2
 linier,2
 linker,2
 linted,2
 lintel,2
 lister,2
 litter,2
 milter,2
 mincer,2
 minder,2
 minted,2
 mister,2
 nipter,2
 ointed,2
 panter,2
 pincer,2
 pinder,2
 pinger,2
 pinier,2
 pinker,2
 pinner,2
 pitter,2
 punter,2
 qintar,2
 ranter,2
 renter,2
 ringer,2
 rinser,2
 rioter,2
 ritter,2
 sifter,2
 singer,2
 sinker,2
 sinner,2
 sister,2
 sitter,2
 tenter,2
 tilter,2
 tinder,2
 tinier,2
 tinker,2
 tinner,2
 tinted,2
 titter,2
 venter,2
 vinier,2
 vinted,2
 wafter,2
 waiter,2
 wander,2
 wanier,2
 wanker,2
 wanner,2
 wanted,2
 waster,2
 watter,2
 welter,2
 wester,2
 wetter,2
 whiter,2
 wicker,2
 widder,2
 wiener,2
 wilder,2
 wilier,2
 willer,2
 wilted,2
 winced,2
 winces,2
 wincey,2
 winded,2
 winged,2
 winked,2
 winned,2
 winoes,2
 winsey,2
 wintle,2
 wintry,2
 winzes,2
 wirier,2
 wisher,2
 wisted,2
 wither,2
 witted,2
 wizier,2
 wonder,2
 wonner,2
 wonted,2
 writer,2
 wunner,2
 zinger,2
 aintab,3
 auster,3
 banner,3
 baxter,3
 bender,3
 bieber,3
 bingen,3
 bonner,3
 bunker,3
 buster,3
 cancer,3
 canmer,3
 cantor,3
 carter,3
 cibber,3
 conger,3
 conner,3
 cooter,3
 cotter,3
 crater,3
 custer,3
 dafter,3
 denver,3
 dexter,3
 digger,3
 diller,3
 dipper,3
 donner,3
 dunker,3
 easter,3
 eisner,3
 exeter,3
 fantee,3
 fantes,3
 finley,3
 finney,3
 finsen,3
 fisher,3
 foster,3
 garter,3
 gilmer,3
 hester,3
 hilger,3
 hiller,3
 hinton,3
 hitler,3
 hunker,3
 jenner,3
 jigger,3
 junker,3
 kenner,3
 kidder,3
 kiefer,3
 kieler,3
 kimper,3
 kinney,3
 kinsey,3
 lander,3
 langer,3
 leiter,3
 lenten,3
 lester,3
 linton,3
 mantee,3
 manteo,3
 master,3
 meneer,3
 mentor,3
 metter,3
 miller,3
 milner,3
 mindel,3
 minden,3
 minton,3
 mixtec,3
 munger,3
 nantes,3
 pender,3
 pentel,3
 picher,3
 pictor,3
 pilger,3
 pindar,3
 piutes,3
 pooter,3
 porter,3
 potter,3
 ranger,3
 renner,3
 reuter,3
 ritner,3
 rueter,3
 ruyter,3
 sanger,3
 santee,3
 sieper,3
 sinton,3
 slater,3
 souter,3
 sumter,3
 sutter,3
 tanner,3
 tiller,3
 tintah,3
 tunker,3
 ulster,3
 victor,3
 vinton,3
