"MsCode","DemCode","EstCode","Year","Estimate","SE","LowerCIB","UpperCIB","Flag"
"MEASA","ETHG01","A_Proportion","2019"," 9.8"," 1.0"," 8.7","10.8",""
"MEASA","ETHG01","B_Number","2019"," 71.3"," 8.2"," 63.2"," 79.5",""
"MEASA","ETHG01","C_Population","2019"," 731.3","19.6"," 711.7"," 751.0",""
"MEASA","ETHG01","D_Proportion_diff","2019"," "," "," "," ","NA"
"MEASA","ETHG01","E_Number_diff","2019"," "," "," "," ","NA"
"MEASA","ETHG02","A_Proportion","2019","17.9"," 1.9","16.0","19.8",""
"MEASA","ETHG02","B_Number","2019"," 52.8"," 6.3"," 46.5"," 59.1",""
"MEASA","ETHG02","C_Population","2019"," 295.5","12.8"," 282.7"," 308.3",""
"MEASA","ETHG02","D_Proportion_diff","2019"," "," "," "," ","NA"
"MEASA","ETHG02","E_Number_diff","2019"," "," "," "," ","NA"
"MEASA","ETHG03","A_Proportion","2019","18.6"," 3.3","15.2","21.9",""
"MEASA","ETHG03","B_Number","2019"," 26.2"," 5.3"," 20.9"," 31.5",""
"MEASA","ETHG03","C_Population","2019"," 141.2","12.6"," 128.6"," 153.8",""
"MEASA","ETHG03","D_Proportion_diff","2019"," "," "," "," ","NA"
"MEASA","ETHG03","E_Number_diff","2019"," "," "," "," ","NA"
"MEASA","ETHG04","A_Proportion","2019","15.1"," 2.8","12.3","17.8",""
"MEASA","ETHG04","B_Number","2019"," 27.2"," 5.6"," 21.6"," 32.8",""
"MEASA","ETHG04","C_Population","2019"," 180.4","14.6"," 165.9"," 195.0",""
"MEASA","ETHG04","D_Proportion_diff","2019"," "," "," "," ","NA"
"MEASA","ETHG04","E_Number_diff","2019"," "," "," "," ","NA"
"MEASA","ETHG05","A_Proportion","2019","30.0","10.1","19.9","40.1",""
"MEASA","ETHG05","B_Number","2019","  6.6"," 2.7","  3.9","  9.3",""
"MEASA","ETHG05","C_Population","2019","  22.1"," 4.7","  17.4","  26.7",""
"MEASA","ETHG05","D_Proportion_diff","2019"," "," "," "," ","NA"
"MEASA","ETHG05","E_Number_diff","2019"," "," "," "," ","NA"
"MEASA","ETHG06","A_Proportion","2019","26.8","12.8","14.0","39.7",""
"MEASA","ETHG06","B_Number","2019","  6.0"," 3.3","  2.8","  9.3",""
"MEASA","ETHG06","C_Population","2019","  22.5"," 5.5","  17.0","  28.0",""
"MEASA","ETHG06","D_Proportion_diff","2019"," "," "," "," ","NA"
"MEASA","ETHG06","E_Number_diff","2019"," "," "," "," ","NA"
"MEASA","ETHG99","A_Proportion","2019","13.5"," 0.9","12.6","14.4",""
"MEASA","ETHG99","B_Number","2019","153.2","10.1","143.2","163.3",""
"MEASA","ETHG99","C_Population","2019","1132.8"," "," "," ","NA"
"MEASA","ETHG99","D_Proportion_diff","2019"," "," "," "," ","NA"
"MEASA","ETHG99","E_Number_diff","2019"," "," "," "," ","NA"
"MEASA","REGC01","A_Proportion","2019","17.2","7.7"," 9.5","24.9",""
"MEASA","REGC01","B_Number","2019","  8.0"," 3.6","  4.4"," 11.5",""
"MEASA","REGC01","C_Population","2019","  46.3"," 4.5","  41.8","  50.8",""
"MEASA","REGC01","D_Proportion_diff","2019"," "," "," "," ","NA"
"MEASA","REGC01","E_Number_diff","2019"," "," "," "," ","NA"
"MEASA","REGC02","A_Proportion","2019","13.7","1.8","11.8","15.5",""
"MEASA","REGC02","B_Number","2019"," 51.2"," 7.1"," 44.2"," 58.3",""
"MEASA","REGC02","C_Population","2019"," 374.5","12.3"," 362.2"," 386.8",""
"MEASA","REGC02","D_Proportion_diff","2019"," "," "," "," ","NA"
"MEASA","REGC02","E_Number_diff","2019"," "," "," "," ","NA"
"MEASA","REGC03","A_Proportion","2019","16.1","3.8","12.3","19.8",""
"MEASA","REGC03","B_Number","2019"," 19.1"," 4.8"," 14.3"," 23.9",""
"MEASA","REGC03","C_Population","2019"," 118.9"," 7.6"," 111.3"," 126.5",""
"MEASA","REGC03","D_Proportion_diff","2019"," "," "," "," ","NA"
"MEASA","REGC03","E_Number_diff","2019"," "," "," "," ","NA"
"MEASA","REGC04","A_Proportion","2019","13.6","3.9"," 9.7","17.5",""
"MEASA","REGC04","B_Number","2019"," 11.1"," 3.4","  7.8"," 14.5",""
"MEASA","REGC04","C_Population","2019","  81.5"," 5.4","  76.1","  86.9",""
"MEASA","REGC04","D_Proportion_diff","2019"," "," "," "," ","NA"
"MEASA","REGC04","E_Number_diff","2019"," "," "," "," ","NA"
"MEASA","REGC05","A_Proportion","2019","15.2","4.2","11.1","19.4",""
"MEASA","REGC05","B_Number","2019","  8.4"," 2.4","  6.0"," 10.8",""
"MEASA","REGC05","C_Population","2019","  55.1"," 3.9","  51.2","  59.0",""
"MEASA","REGC05","D_Proportion_diff","2019"," "," "," "," ","NA"
"MEASA","REGC05","E_Number_diff","2019"," "," "," "," ","NA"
"MEASA","REGC06","A_Proportion","2019","15.4","6.1"," 9.3","21.4",""
"MEASA","REGC06","B_Number","2019","  4.5"," 1.9","  2.6","  6.4",""
"MEASA","REGC06","C_Population","2019","  29.5"," 3.0","  26.5","  32.6",""
"MEASA","REGC06","D_Proportion_diff","2019"," "," "," "," ","NA"
"MEASA","REGC06","E_Number_diff","2019"," "," "," "," ","NA"
"MEASA","REGC07","A_Proportion","2019","15.7","5.0","10.7","20.7",""
"MEASA","REGC07","B_Number","2019","  9.4"," 3.1","  6.3"," 12.6",""
"MEASA","REGC07","C_Population","2019","  60.2"," 4.2","  56.0","  64.4",""
"MEASA","REGC07","D_Proportion_diff","2019"," "," "," "," ","NA"
"MEASA","REGC07","E_Number_diff","2019"," "," "," "," ","NA"
