Dataset;Year;Source;References;News Domain ;Application area ;Type of disinformation;Language;Size;Physical news content;Rating scale;Media platform;Spontaneity;Availability;Extraction time
Yelp dataset;ÿ2019;Request by email to o.araque@upm.es;Barbado et al., 2019;Technology ;Fake detection;Fake reviews;English;18,912 reviews (9,456 fake reviews and 9,456 trustful reviews);Text;2 values (fake and trustful);Mainstream;Yes;Yes;No
;;;;;;;;;;;;;;
PHEME dataset;ÿ2016;https://figshare.com/articles/PHEME_rumour_scheme_dataset_journalism_use_case/2068650/2;"Zubiaga et al., 2016; Giasemidis et al., 2018; Bondielli and Marcelloni, 2019; Alkhodair et al., 2019";Society, politics;Rumour detection;Rumours;English and German;330 rumourous conversations (159 are true, 68 are false and 103 remained unverified) and;Text;3 values (true, false, or unverified;Social media (twitter);Yes;Yes;No
CREDBANK;ÿ2015;https://github.com/compsocial/CREDBANK-data;"Mitra and Gilbert, 2015; Sowmya and Shankar, 2019; Bondielli and Marcelloni, 2019; Zhang and Ghorbani, 2019";Society;Veracity classification;Rumours;English;60 million streaming tweets and 1,049 events annotated with credibility scores;Text;"5 values (Certainly Inaccurate; Probably Inaccurate; Uncertain (Doubtful); Probably Accurate; Certainly Accurate)";Social media (twitter);Yes;Yes;Yes (October 2014 - February 2015)
BuzzFace;ÿ2018;https://github.com/gsantia/BuzzFace;"Santia and Williams, 2018; Sowmya and Shankar, 2019; Bondielli and Marcelloni, 2019; Reis et al., 2019";Politics, society;Veracity classification;Fake news articles;English;2,263 Facebook news from 9 facebook news pages ( 73.18% mostly true);Text;4 values  (mostly true, mostly false, mixture of true and false, and no factual content);Social media (facebook);Yes;Yes;Yes (September 2016)
FacebookHoax;ÿ2017;https://github.com/gabll/some-like-it-hoax;"Tacchini et al., 2017; Sowmya and Shankar, 2019; Bondielli and Marcelloni, 2019";Science;Fake detection;Hoaxes;English;15,500 posts from 32 pages (14 conspiracy and 18 scientific) among which 8,923 (57.6%) are hoaxes and 6,577 (42.4%) non-hoaxes;Text;2 values (hoaxes,  non-hoaxes);Social media (facebook);Yes;Yes;Yes (July 2016 - December 2016)
LIAR;ÿ2017;https://www.cs.ucsb.edu/ ?william/data/liar_dataset.zip;"Wang, 2018; Bondielli and Marcelloni, 2019; Zhang and Ghorbani, 2019; Aldwairi and Alwahedi, 2018; Torabi and Taboada, 2019";Politics;Fake detection;Fake news articles;English;12,836 human labeled short statements from POLITIFACT.COM?s API ( 1,050 pants-fire);Text;6 values (pants-fire, false, barely-true, half-true, mostly-true, and true);Mainstream + social media (facebook, twitter);Yes;Yes;Yes (2007-2016)
Fact checking dataset;ÿ2014;https://sites.google.com/site/andreasvlachos/resources;"Vlachos and Riedel, 2014; Bondielli and Marcelloni, 2019";Politics, society;Fact checking;Fake news articles;English;221 statements from  two websites (politifact.comÿand Channel 4)  ;Text;5 values (true, mostly true, half true, mostly false, and false);Mainstream;Yes;Yes;No
FEVER;ÿ2018;http://fever.ai/resources.html;"Thorne et al., 2018; Bondielli and Marcelloni, 2019; Torabi and Taboada, 2019";Society;Fact checking;Fake news articles;English;185,445 claims extracted from Wikipedia;Text;3 values ( supported, refuted, and notenoughinfo);Mainstream;No;Yes;No
EMERGENT;ÿ2016;https://github.com/willferreira/mscproject;"Ferreira and Vlachos, 2016; Bondielli and Marcelloni, 2019; Torabi and Taboada, 2019";Society, technology;Rumour detection;Rumours;English;300 claims, and 2,595 associated article headlines (47.7 % true, 15.2% false, 37.1 unverified);Text;3 values (true, false or unverified);Mainstream + social media (twitter);Yes;Yes;No
FakeNewsNet;ÿ2018;https://github.com/KaiDMML/FakeNewsNet;"Shu et al., 2018; Bondielli and Marcelloni, 2019; Zhang and Ghorbani, 2019";Society, politics;Fake detection;Fake news articles;English;422 news (211 fake news and 211 real news);Text, images;2 values (fake and real);Mainstream + social media (twitter);Yes;Yes;No
;;;;;;;;;;;;;;
Benjamin Political News Dataset;ÿ2017;https://github.com/rpitrust/fakenewsdata1;"Horne and Adali, 2017; Zhang and Ghorbani, 2019; Ahmed et al., 2018";Politics;Fake detection;Fake news articles;English;225 stories from political news websites;Text;3 values (real, fake, and satire);Mainstream;Yes;Yes;Yes (2014-2015)
Burfoot Satire News Dataset;ÿ2009;https://github.com/rfong/satire/tree/master/corpus;"Burfoot and Baldwin, 2009; Horne and Adali, 2017; Zhang and Ghorbani, 2019";Politics, economy, technology, society;Fake detection;Satire;English;4,000 real news;Text;2 values (newswire and satire);Mainstream;Yes;Yes;No
;;;;;;;;samples and 233 satire news samples;;;;;;
