col1,col2,output
-38.3666687,113,1
-39.81857204,123.9433687,1
-55.6382398,114.551862,1
-36.37800526,95.61651534,1
-39.3666687,112,1
-42.1458481,100.8496023,1
-23.61082026,123.2738682,1
-57.36908789,121.5720243,1
-39.3666687,112,1
-33.93110451,127.9216753,1
-35.98647887,92.30474928,1
-50.06685994,118.5467214,1
-44.3666687,111,1
-36.86532267,92.08303522,1
-24.53983018,92.65191132,1
-46.7366206,105.1862501,1
-52.3666687,108,1
-33.02160913,103.7728298,1
-56.6778595,111.946402,1
-71.8216542,124.3009381,1
-56.3666687,108,1
-48.28646781,99.43661803,1
-75.44432307,92.93290147,1
-66.62791919,109.8648397,1
-63.3666687,106,1
-63.43878934,114.8811377,1
-60.28403826,102.8736774,1
-70.46235738,116.7348936,1
-68.3666687,104,1
-51.20762054,105.62313,1
-75.04334582,119.0713637,1
-49.85826782,110.8763145,1
-75.3666687,102,1
-67.90961619,100.6630032,1
-73.97686421,102.0962532,1
-61.47345402,105.6976477,1
-81.3666687,99,1
-98.15200846,95.39339067,1
-92.99053071,80.68726331,1
-90.2190733,80.13879927,1
-84.3666687,98,1
-84.99658885,112.0055615,1
-96.74297743,96.3829857,1
-96.02030324,89.93967834,1
-86.3666687,96,1
-69.87020606,101.8692552,1
-103.6170475,91.9838716,1
-69.77058525,99.43688292,1
-87.3666687,95,1
-84.08170105,98.8823114,1
-80.69257217,101.6285284,1
-86.99014312,101.7471427,1
-90.3666687,91,1
-97.82204324,101.3285161,1
-78.4559457,85.50224975,1
-84.07420934,84.56465221,1
-97.3666687,81,1
-114.8887908,79.81263722,1
-85.14492477,75.35306634,1
-116.7457371,81.67955751,1
-104.3666687,70,1
-94.63268089,60.65903062,1
-90.02732005,87.96846721,1
-105.944972,79.9700515,1
-107.3666687,64,1
-88.67423439,81.0141745,1
-103.3965053,71.5554791,1
-119.2574055,71.8822569,1
-109.3666687,60,1
-119.1942789,58.80218633,1
-111.4902349,69.7460826,1
-113.4871373,51.46185822,1
-111.3666687,53,1
-93.91883063,33.20236746,1
-122.269111,63.50827664,1
-95.31282272,52.61562634,1
-112.3666687,49,1
-129.6106303,52.33912709,1
-106.7766113,54.30083696,1
-132.1335794,41.79678801,1
-116.3666687,34,1
-117.0719137,38.49343817,1
-105.0671455,32.1832709,1
-98.60396537,17.11224039,1
-117.3666687,24,1
-97.85384023,37.72114632,1
-119.3700441,35.2982322,1
-134.2527611,9.344482115,1
-119.3666687,19,1
-110.4851187,30.72240393,1
-119.3666687,12,1
-125.1323561,31.31082042,1
-105.3466168,4.236046985,1
-120.9124086,30.1602965,1
-119.3666687,3,1
-115.2383131,20.34856258,1
-127.8512016,6.37629264,1
-108.9793257,-4.54275335,1
-120.3666687,-6,1
-131.2710363,13.91420164,1
-123.7200312,-22.8293247,1
-134.4124633,-15.56620977,1
-120.3666687,-10,1
-111.0379309,-27.08288502,1
-132.2732769,-11.27472724,1
-120.3666687,-13,1
-118.6912791,-1.428340095,1
-115.0017899,-4.360680258,1
-122.7279842,3.944543319,1
-120.3666687,-15,1
-130.40011,-13.89345932,1
-126.2795906,-28.61988527,1
-124.6039951,-24.58366807,1
-120.3666687,-23,1
-115.3052588,-41.90286979,1
-110.4155468,-29.36570017,1
-120.3666687,-28,1
-133.4253616,-46.99016561,1
-132.8836356,-16.75727462,1
-118.3666687,-38,1
-123.3252874,-19.40442839,1
-123.07539,-42.29870659,1
-132.0153519,-25.64753847,1
-114.3666687,-50,1
-119.9355501,-44.42876973,1
-121.2228864,-55.36437004,1
-129.7891989,-32.49470315,1
-112.3666687,-56,1
-99.27454011,-56.54054535,1
-121.0210467,-48.54838342,1
-111.3046938,-55.09005583,1
-109.3666687,-62,1
-100.9457641,-79.15038535,1
-128.0327701,-61.43481922,1
-102.5617998,-76.17759003,1
-105.3666687,-69,1
-122.1338154,-86.59696468,1
-105.8759877,-73.09862841,1
-121.5140109,-79.37310218,1
-103.3666687,-74,1
-92.72532278,-61.32050511,1
-86.01811067,-81.24721532,1
-100.26089,-77.14664935,1
-101.3666687,-77,1
-89.94975243,-69.54104875,1
-100.4273529,-83.24092863,1
-120.2670423,-93.09081873,1
-98.3666687,-80,1
-100.5152392,-75.64307111,1
-118.0079994,-90.51273848,1
-83.91903253,-82.76152287,1
-89.3666687,-85,1
-82.63806786,-101.2682696,1
-84.32731758,-66.92857046,1
-75.40312733,-88.45411939,1
-76.3666687,-88,1
-79.2918516,-103.8637584,1
-76.81636679,-82.77795215,1
-69.90124167,-88.99683368,1
-68.3666687,-89,1
-83.932448,-105.1952249,1
-65.61862365,-102.6698883,1
-70.08573886,-78.6796768,1
-60.3666687,-92,1
-42.86183809,-80.90833984,1
-43.73251128,-76.0172942,1
-57.0447624,-92.93451554,1
-56.3666687,-92,1
-49.80297532,-109.226547,1
-70.49042635,-78.62444618,1
-75.10811838,-102.0031412,1
-39.3666687,-93,1
-36.00915064,-109.7960295,1
-56.35208618,-79.82785365,1
-42.86337514,-99.32099723,1
-16.3666687,-96,1
-18.80223246,-78.87561084,1
-26.8045692,-85.56593507,1
0.174575201,-107.6791977,1
7.633331299,-96,1
8.023065507,-92.29393139,1
23.52795873,-107.8977179,1
-1.457219565,-104.2064761,1
16.6333313,-96,1
10.15557758,-87.98830712,1
24.59365374,-85.32395467,1
16.10136903,-82.98662703,1
21.6333313,-96,1
9.601268806,-109.3704358,1
14.14857763,-114.9440255,1
11.75163532,-83.66414019,1
28.6333313,-96,1
39.63545349,-109.7652027,1
12.82923724,-99.14681654,1
31.60044316,-94.390757,1
32.6333313,-96,1
38.41503271,-102.535766,1
32.48946005,-90.57614433,1
17.76198775,-95.36895294,1
37.6333313,-94,1
21.85401621,-96.57166,1
20.55518042,-80.40420307,1
55.6666017,-80.46468586,1
39.6333313,-93,1
49.43361321,-77.27756142,1
22.05426114,-90.57322911,1
32.97494728,-73.84737262,1
43.6333313,-91,1
62.80545723,-75.65943872,1
48.49346698,-86.76432855,1
40.85566278,-110.4800419,1
50.6333313,-88,1
66.25544816,-68.78720712,1
58.73467101,-86.07434655,1
55.0834371,-68.67130904,1
55.6333313,-86,1
55.95698821,-98.4098301,1
52.42941894,-97.20305393,1
69.61401307,-73.01086077,1
63.6333313,-82,1
58.46479651,-87.35686469,1
66.04096207,-96.53697792,1
57.06122282,-84.76947218,1
68.6333313,-78,1
49.19833202,-96.61050726,1
82.143448,-76.04385357,1
83.88487909,-72.14932165,1
73.6333313,-74,1
66.00824172,-59.25390171,1
73.29764439,-65.89414173,1
74.21907274,-88.90206651,1
80.6333313,-67,1
80.19737688,-77.1398321,1
81.44870562,-79.31012884,1
72.88887913,-47.35679089,1
87.6333313,-60,1
106.5376006,-64.55258604,1
99.03525632,-44.61086492,1
71.47950904,-58.23688477,1
93.6333313,-50,1
94.15172502,-33.74757927,1
90.47220584,-65.7813979,1
103.7829939,-43.7289557,1
98.6333313,-37,1
91.08559885,-38.00111097,1
96.03593093,-26.02834311,1
83.46320879,-32.20752988,1
104.6333313,-25,1
94.80462846,-31.60046726,1
100.758265,-29.91641844,1
95.40552641,-43.8053483,1
106.6333313,-20,1
115.4275095,-26.50873337,1
97.08277582,-10.55558372,1
92.98163675,-16.93167898,1
108.6333313,-14,1
99.04519617,-8.881643805,1
120.2264382,-13.67438919,1
128.0147057,4.311522296,1
111.6333313,-4,1
103.1308861,6.917578266,1
110.947486,0.286174891,1
131.0609778,-13.07165691,1
114.6333313,10,1
128.5438019,23.7944463,1
119.1962177,17.91956028,1
110.7031061,6.293112807,1
115.6333313,15,1
129.099152,26.06354929,1
103.833626,30.65228646,1
106.3732969,15.44502435,1
115.6333313,22,1
104.8659995,15.79933393,1
95.86289512,25.47977728,1
117.7370311,38.32685403,1
116.6333313,30,1
125.2661003,20.79569081,1
113.7154215,32.63688488,1
97.55507448,22.56201099,1
117.6333313,37,1
111.9930015,24.44033172,1
126.4330942,54.3112766,1
104.7297909,18.72094532,1
117.6333313,38,1
119.9345338,22.47140305,1
124.0966497,37.16183363,1
125.1695815,55.34924023,1
117.6333313,44,1
133.4497436,36.94433421,1
101.7444178,38.03671977,1
132.9229807,24.98865876,1
117.6333313,57,1
98.3290265,44.39001109,1
99.80904354,50.83717768,1
134.4996135,41.67907476,1
117.6333313,63,1
102.1591978,78.05852948,1
128.1798789,54.72601326,1
114.6333313,78,1
111.9829824,90.29898375,1
127.7423646,86.72108325,1
105.8899932,89.3718059,1
106.6333313,94,1
90.15955986,101.9233849,1
100.6861864,109.9783642,1
114.1424722,111.0690356,1
95.6333313,108,1
85.18002881,91.67939656,1
88.61426037,110.2043005,1
89.49192218,108.9760004,1
86.6333313,116,1
105.2700269,109.0584494,1
74.88419497,134.4992621,1
78.49656016,133.1292214,1
82.6333313,117,1
64.34556549,101.0073172,1
86.63911132,110.0062576,1
92.78735865,117.1299482,1
76.6333313,118,1
91.54756665,118.1723664,1
85.51036904,110.854834,1
70.28922126,102.4920665,1
67.6333313,120,1
86.60987946,106.1642135,1
48.61937264,124.3841235,1
77.69337784,111.6071301,1
61.6333313,120,1
50.40637765,112.8227011,1
79.1557242,116.7554613,1
46.3944919,120.7616494,1
50.6333313,121,1
36.87087359,105.8544276,1
40.94406477,116.9230091,1
62.523242,110.7813567,1
42.6333313,122,1
40.71991356,107.4931531,1
41.18918157,104.1315438,1
52.10663744,104.4628279,1
